E_lab	E*/MeV	189Bi	190Bi	191Bi	192Bi	193Bi	194Bi	195Bi
237.821	30.0	0.000E+00	0.000E+00	0.382E-11	0.893E-09	0.793E-11	0.939E-10	0.442E-09
239.218	31.0	0.000E+00	0.000E+00	0.375E-10	0.300E-08	0.135E-10	0.533E-09	0.135E-08
240.615	32.0	0.000E+00	0.000E+00	0.135E-07	0.857E-06	0.320E-07	0.112E-06	0.437E-06
242.013	33.0	0.000E+00	0.000E+00	0.141E-06	0.555E-05	0.223E-06	0.796E-06	0.262E-05
243.410	34.0	0.000E+00	0.000E+00	0.978E-06	0.196E-04	0.526E-06	0.388E-05	0.862E-05
244.807	35.0	0.000E+00	0.000E+00	0.597E-05	0.624E-04	0.107E-05	0.175E-04	0.261E-04
246.204	36.0	0.000E+00	0.000E+00	0.327E-04	0.186E-03	0.209E-05	0.747E-04	0.755E-04
247.601	37.0	0.000E+00	0.000E+00	0.160E-03	0.517E-03	0.420E-05	0.297E-03	0.206E-03
248.998	38.0	0.000E+00	0.151E-09	0.678E-03	0.130E-02	0.101E-04	0.106E-02	0.517E-03
250.396	39.0	0.000E+00	0.421E-08	0.229E-02	0.274E-02	0.337E-04	0.313E-02	0.109E-02
251.793	40.0	0.000E+00	0.530E-07	0.560E-02	0.442E-02	0.117E-03	0.677E-02	0.177E-02
253.190	41.0	0.000E+00	0.354E-06	0.980E-02	0.534E-02	0.323E-03	0.107E-01	0.214E-02
254.587	42.0	0.000E+00	0.153E-05	0.135E-01	0.515E-02	0.708E-03	0.135E-01	0.207E-02
255.984	43.0	0.000E+00	0.511E-05	0.158E-01	0.425E-02	0.132E-02	0.150E-01	0.172E-02
257.381	44.0	0.000E+00	0.142E-04	0.168E-01	0.319E-02	0.220E-02	0.154E-01	0.131E-02
258.779	45.0	0.000E+00	0.346E-04	0.167E-01	0.224E-02	0.337E-02	0.151E-01	0.949E-03
260.176	46.0	0.000E+00	0.748E-04	0.156E-01	0.152E-02	0.480E-02	0.143E-01	0.662E-03
261.573	47.0	0.000E+00	0.145E-03	0.140E-01	0.100E-02	0.647E-02	0.130E-01	0.451E-03
262.970	48.0	0.000E+00	0.255E-03	0.120E-01	0.649E-03	0.828E-02	0.115E-01	0.302E-03
264.367	49.0	0.133E-08	0.411E-03	0.988E-02	0.415E-03	0.101E-01	0.987E-02	0.200E-03
265.764	50.0	0.818E-08	0.614E-03	0.791E-02	0.265E-03	0.120E-01	0.825E-02	0.131E-03
267.162	51.0	0.385E-07	0.860E-03	0.615E-02	0.175E-03	0.136E-01	0.673E-02	0.849E-04
268.559	52.0	0.148E-06	0.114E-02	0.467E-02	0.129E-03	0.151E-01	0.536E-02	0.545E-04
269.956	53.0	0.489E-06	0.143E-02	0.346E-02	0.122E-03	0.162E-01	0.418E-02	0.347E-04
271.353	54.0	0.141E-05	0.172E-02	0.252E-02	0.157E-03	0.168E-01	0.320E-02	0.220E-04
272.750	55.0	0.362E-05	0.197E-02	0.181E-02	0.240E-03	0.170E-01	0.241E-02	0.138E-04
274.147	56.0	0.834E-05	0.215E-02	0.127E-02	0.379E-03	0.167E-01	0.178E-02	0.862E-05
275.545	57.0	0.174E-04	0.226E-02	0.887E-03	0.581E-03	0.160E-01	0.130E-02	0.534E-05
276.942	58.0	0.331E-04	0.228E-02	0.610E-03	0.850E-03	0.149E-01	0.938E-03	0.329E-05
278.339	59.0	0.579E-04	0.221E-02	0.416E-03	0.118E-02	0.135E-01	0.668E-03	0.201E-05
279.736	60.0	0.940E-04	0.207E-02	0.281E-03	0.158E-02	0.120E-01	0.470E-03	0.122E-05
281.133	61.0	0.142E-03	0.188E-02	0.190E-03	0.201E-02	0.104E-01	0.328E-03	0.739E-06
282.530	62.0	0.202E-03	0.165E-02	0.130E-03	0.248E-02	0.880E-02	0.227E-03	0.441E-06
283.928	63.0	0.271E-03	0.141E-02	0.948E-04	0.294E-02	0.732E-02	0.155E-03	0.259E-06
285.325	64.0	0.344E-03	0.118E-02	0.799E-04	0.339E-02	0.597E-02	0.106E-03	0.150E-06
286.722	65.0	0.414E-03	0.968E-03	0.850E-04	0.378E-02	0.480E-02	0.713E-04	0.837E-07
288.119	66.0	0.476E-03	0.777E-03	0.112E-03	0.410E-02	0.379E-02	0.478E-04	0.442E-07
289.516	67.0	0.523E-03	0.612E-03	0.163E-03	0.433E-02	0.296E-02	0.319E-04	0.146E-07
290.913	68.0	0.552E-03	0.475E-03	0.243E-03	0.445E-02	0.228E-02	0.211E-04	0.000E+00
292.311	69.0	0.560E-03	0.364E-03	0.354E-03	0.446E-02	0.173E-02	0.139E-04	0.000E+00
293.708	70.0	0.549E-03	0.275E-03	0.497E-03	0.436E-02	0.122E-02	0.908E-05	0.000E+00
295.105	71.0	0.522E-03	0.205E-03	0.670E-03	0.416E-02	0.683E-03	0.590E-05	0.000E+00
296.502	72.0	0.482E-03	0.152E-03	0.104E-02	0.338E-02	0.258E-03	0.381E-05	0.000E+00
297.899	73.0	0.433E-03	0.111E-03	0.125E-02	0.303E-02	0.160E-03	0.245E-05	0.000E+00
