E_lab	E*/MeV	191At	192At	193At	194At	195At	196At	197At
237.821	30.0	0.000E+00	0.000E+00	0.000E+00	0.586E-14	0.443E-09	0.572E-12	0.000E+00
239.218	31.0	0.000E+00	0.000E+00	0.000E+00	0.386E-12	0.860E-09	0.865E-12	0.000E+00
240.615	32.0	0.000E+00	0.000E+00	0.000E+00	0.112E-09	0.175E-06	0.191E-08	0.000E+00
242.013	33.0	0.000E+00	0.000E+00	0.000E+00	0.362E-08	0.851E-06	0.928E-08	0.000E+00
243.410	34.0	0.000E+00	0.000E+00	0.000E+00	0.474E-07	0.181E-05	0.172E-07	0.000E+00
244.807	35.0	0.000E+00	0.000E+00	0.000E+00	0.413E-06	0.359E-05	0.283E-07	0.000E+00
246.204	36.0	0.000E+00	0.000E+00	0.000E+00	0.285E-05	0.693E-05	0.447E-07	0.000E+00
247.601	37.0	0.000E+00	0.000E+00	0.000E+00	0.164E-04	0.130E-04	0.685E-07	0.000E+00
248.998	38.0	0.000E+00	0.000E+00	0.000E+00	0.761E-04	0.228E-04	0.846E-07	0.000E+00
250.396	39.0	0.000E+00	0.000E+00	0.000E+00	0.258E-03	0.348E-04	0.503E-08	0.000E+00
251.793	40.0	0.000E+00	0.000E+00	0.101E-09	0.576E-03	0.411E-04	0.000E+00	0.000E+00
253.190	41.0	0.000E+00	0.000E+00	0.340E-08	0.856E-03	0.365E-04	0.000E+00	0.000E+00
254.587	42.0	0.000E+00	0.000E+00	0.400E-07	0.949E-03	0.262E-04	0.000E+00	0.000E+00
255.984	43.0	0.000E+00	0.000E+00	0.252E-06	0.882E-03	0.166E-04	0.000E+00	0.000E+00
257.381	44.0	0.000E+00	0.000E+00	0.104E-05	0.738E-03	0.982E-05	0.000E+00	0.000E+00
258.779	45.0	0.000E+00	0.000E+00	0.314E-05	0.577E-03	0.558E-05	0.000E+00	0.000E+00
260.176	46.0	0.000E+00	0.000E+00	0.756E-05	0.431E-03	0.311E-05	0.000E+00	0.000E+00
261.573	47.0	0.000E+00	0.000E+00	0.150E-04	0.311E-03	0.169E-05	0.000E+00	0.000E+00
262.970	48.0	0.000E+00	0.000E+00	0.248E-04	0.219E-03	0.884E-06	0.000E+00	0.000E+00
264.367	49.0	0.000E+00	0.000E+00	0.350E-04	0.151E-03	0.436E-06	0.000E+00	0.000E+00
265.764	50.0	0.000E+00	0.000E+00	0.433E-04	0.102E-03	0.145E-06	0.000E+00	0.000E+00
267.162	51.0	0.000E+00	0.000E+00	0.480E-04	0.678E-04	0.000E+00	0.000E+00	0.000E+00
268.559	52.0	0.000E+00	0.130E-10	0.487E-04	0.446E-04	0.000E+00	0.000E+00	0.000E+00
269.956	53.0	0.000E+00	0.174E-09	0.461E-04	0.291E-04	0.000E+00	0.000E+00	0.000E+00
271.353	54.0	0.000E+00	0.135E-08	0.412E-04	0.187E-04	0.000E+00	0.000E+00	0.000E+00
272.750	55.0	0.000E+00	0.705E-08	0.351E-04	0.120E-04	0.000E+00	0.000E+00	0.000E+00
274.147	56.0	0.000E+00	0.268E-07	0.288E-04	0.765E-05	0.000E+00	0.000E+00	0.000E+00
275.545	57.0	0.000E+00	0.802E-07	0.229E-04	0.484E-05	0.000E+00	0.000E+00	0.000E+00
276.942	58.0	0.000E+00	0.199E-06	0.177E-04	0.305E-05	0.000E+00	0.000E+00	0.000E+00
278.339	59.0	0.000E+00	0.422E-06	0.134E-04	0.191E-05	0.000E+00	0.000E+00	0.000E+00
279.736	60.0	0.000E+00	0.779E-06	0.991E-05	0.120E-05	0.000E+00	0.000E+00	0.000E+00
281.133	61.0	0.000E+00	0.127E-05	0.722E-05	0.745E-06	0.000E+00	0.000E+00	0.000E+00
