E_lab	E*/MeV	191At	192At	193At	194At	195At	196At	197At
219.658	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.165E-07	0.497E-10
221.055	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.942E-07	0.966E-10
222.452	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.352E-06	0.182E-09
223.850	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.122E-09	0.109E-05	0.325E-09
225.247	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.857E-08	0.310E-05	0.532E-09
226.644	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.211E-06	0.829E-05	0.571E-09
228.041	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.271E-05	0.208E-04	0.000E+00
229.438	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.222E-04	0.461E-04	0.000E+00
230.835	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.120E-03	0.822E-04	0.000E+00
232.232	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.416E-03	0.112E-03	0.000E+00
233.630	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.966E-03	0.124E-03	0.000E+00
235.027	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-02	0.117E-03	0.000E+00
236.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.206E-02	0.995E-04	0.000E+00
237.821	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.227E-02	0.776E-04	0.000E+00
239.218	31.0	0.000E+00	0.000E+00	0.000E+00	0.173E-07	0.220E-02	0.566E-04	0.000E+00
240.615	32.0	0.000E+00	0.000E+00	0.000E+00	0.432E-06	0.194E-02	0.390E-04	0.000E+00
242.013	33.0	0.000E+00	0.000E+00	0.000E+00	0.406E-05	0.159E-02	0.255E-04	0.000E+00
243.410	34.0	0.000E+00	0.000E+00	0.000E+00	0.200E-04	0.121E-02	0.160E-04	0.000E+00
244.807	35.0	0.000E+00	0.000E+00	0.000E+00	0.638E-04	0.879E-03	0.953E-05	0.000E+00
246.204	36.0	0.000E+00	0.000E+00	0.000E+00	0.157E-03	0.605E-03	0.537E-05	0.000E+00
247.601	37.0	0.000E+00	0.000E+00	0.000E+00	0.319E-03	0.399E-03	0.283E-05	0.000E+00
248.998	38.0	0.000E+00	0.000E+00	0.000E+00	0.552E-03	0.253E-03	0.127E-05	0.000E+00
250.396	39.0	0.000E+00	0.000E+00	0.000E+00	0.804E-03	0.156E-03	0.000E+00	0.000E+00
251.793	40.0	0.000E+00	0.000E+00	0.142E-09	0.993E-03	0.936E-04	0.000E+00	0.000E+00
253.190	41.0	0.000E+00	0.000E+00	0.373E-08	0.106E-02	0.550E-04	0.000E+00	0.000E+00
254.587	42.0	0.000E+00	0.000E+00	0.405E-07	0.102E-02	0.317E-04	0.000E+00	0.000E+00
255.984	43.0	0.000E+00	0.000E+00	0.250E-06	0.897E-03	0.181E-04	0.000E+00	0.000E+00
257.381	44.0	0.000E+00	0.000E+00	0.103E-05	0.737E-03	0.102E-04	0.000E+00	0.000E+00
258.779	45.0	0.000E+00	0.000E+00	0.312E-05	0.575E-03	0.564E-05	0.000E+00	0.000E+00
260.176	46.0	0.000E+00	0.000E+00	0.754E-05	0.430E-03	0.313E-05	0.000E+00	0.000E+00
261.573	47.0	0.000E+00	0.000E+00	0.149E-04	0.311E-03	0.169E-05	0.000E+00	0.000E+00
262.970	48.0	0.000E+00	0.000E+00	0.248E-04	0.219E-03	0.882E-06	0.000E+00	0.000E+00
264.367	49.0	0.000E+00	0.000E+00	0.350E-04	0.150E-03	0.435E-06	0.000E+00	0.000E+00
265.764	50.0	0.000E+00	0.000E+00	0.433E-04	0.102E-03	0.145E-06	0.000E+00	0.000E+00
267.162	51.0	0.000E+00	0.000E+00	0.479E-04	0.678E-04	0.000E+00	0.000E+00	0.000E+00
268.559	52.0	0.000E+00	0.130E-10	0.487E-04	0.446E-04	0.000E+00	0.000E+00	0.000E+00
269.956	53.0	0.000E+00	0.173E-09	0.461E-04	0.290E-04	0.000E+00	0.000E+00	0.000E+00
271.353	54.0	0.000E+00	0.135E-08	0.412E-04	0.187E-04	0.000E+00	0.000E+00	0.000E+00
272.750	55.0	0.000E+00	0.705E-08	0.351E-04	0.120E-04	0.000E+00	0.000E+00	0.000E+00
274.147	56.0	0.000E+00	0.268E-07	0.288E-04	0.764E-05	0.000E+00	0.000E+00	0.000E+00
275.545	57.0	0.000E+00	0.802E-07	0.229E-04	0.484E-05	0.000E+00	0.000E+00	0.000E+00
276.942	58.0	0.000E+00	0.199E-06	0.177E-04	0.305E-05	0.000E+00	0.000E+00	0.000E+00
278.339	59.0	0.000E+00	0.422E-06	0.134E-04	0.191E-05	0.000E+00	0.000E+00	0.000E+00
279.736	60.0	0.000E+00	0.779E-06	0.990E-05	0.120E-05	0.000E+00	0.000E+00	0.000E+00
281.133	61.0	0.000E+00	0.127E-05	0.722E-05	0.744E-06	0.000E+00	0.000E+00	0.000E+00
282.530	62.0	0.000E+00	0.184E-05	0.518E-05	0.460E-06	0.000E+00	0.000E+00	0.000E+00
283.928	63.0	0.250E-11	0.242E-05	0.368E-05	0.284E-06	0.000E+00	0.000E+00	0.000E+00
285.325	64.0	0.184E-10	0.292E-05	0.258E-05	0.173E-06	0.000E+00	0.000E+00	0.000E+00
286.722	65.0	0.993E-10	0.328E-05	0.179E-05	0.101E-06	0.000E+00	0.000E+00	0.000E+00
288.119	66.0	0.411E-09	0.348E-05	0.124E-05	0.562E-07	0.000E+00	0.000E+00	0.000E+00
289.516	67.0	0.136E-08	0.350E-05	0.847E-06	0.294E-07	0.000E+00	0.000E+00	0.000E+00
290.913	68.0	0.369E-08	0.336E-05	0.576E-06	0.817E-08	0.000E+00	0.000E+00	0.000E+00
292.311	69.0	0.842E-08	0.311E-05	0.390E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
293.708	70.0	0.165E-07	0.279E-05	0.262E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
295.105	71.0	0.285E-07	0.243E-05	0.176E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
296.502	72.0	0.441E-07	0.206E-05	0.117E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
297.899	73.0	0.619E-07	0.172E-05	0.779E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
299.296	74.0	0.804E-07	0.140E-05	0.513E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
300.693	75.0	0.975E-07	0.112E-05	0.333E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
302.091	76.0	0.112E-06	0.888E-06	0.213E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
303.488	77.0	0.121E-06	0.692E-06	0.132E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
304.885	78.0	0.126E-06	0.534E-06	0.770E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
306.282	79.0	0.127E-06	0.407E-06	0.362E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
307.679	80.0	0.123E-06	0.307E-06	0.146E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00


E_lab	E*/MeV	190Po	191Po	192Po	193Po	194Po	195Po	196Po
219.658	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.384E-10	0.970E-08
221.055	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.545E-09	0.456E-07
222.452	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.425E-08	0.192E-06
223.850	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.338E-07	0.733E-06
225.247	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.271E-06	0.256E-05
226.644	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.204E-05	0.825E-05
228.041	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.138E-04	0.243E-04
229.438	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.770E-04	0.626E-04
230.835	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.270E-08	0.321E-03	0.127E-03
232.232	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.578E-07	0.980E-03	0.197E-03
233.630	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.515E-06	0.234E-02	0.245E-03
235.027	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.319E-05	0.461E-02	0.258E-03
236.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.161E-04	0.777E-02	0.243E-03
237.821	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.657E-04	0.114E-01	0.208E-03
239.218	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.217E-03	0.147E-01	0.166E-03
240.615	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.598E-03	0.170E-01	0.124E-03
242.013	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.140E-02	0.178E-01	0.876E-04
