E*/MeV	189Bi	190Bi	191Bi	192Bi	193Bi	194Bi	195Bi
17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.571E-09	0.000E+00	0.680E-11
18.0	0.000E+00	0.000E+00	0.000E+00	0.881E-12	0.371E-08	0.000E+00	0.773E-10
19.0	0.000E+00	0.000E+00	0.000E+00	0.325E-10	0.227E-07	0.000E+00	0.739E-09
20.0	0.000E+00	0.000E+00	0.000E+00	0.562E-09	0.131E-06	0.000E+00	0.611E-08
21.0	0.000E+00	0.000E+00	0.000E+00	0.738E-08	0.699E-06	0.000E+00	0.448E-07
22.0	0.000E+00	0.000E+00	0.000E+00	0.811E-07	0.344E-05	0.000E+00	0.298E-06
23.0	0.000E+00	0.000E+00	0.000E+00	0.750E-06	0.151E-04	0.246E-10	0.178E-05
24.0	0.000E+00	0.000E+00	0.000E+00	0.550E-05	0.562E-04	0.114E-08	0.899E-05
25.0	0.000E+00	0.000E+00	0.000E+00	0.287E-04	0.159E-03	0.206E-07	0.347E-04
26.0	0.000E+00	0.000E+00	0.000E+00	0.106E-03	0.335E-03	0.201E-06	0.101E-03
27.0	0.000E+00	0.000E+00	0.252E-08	0.301E-03	0.552E-03	0.129E-05	0.238E-03
28.0	0.000E+00	0.000E+00	0.601E-07	0.709E-03	0.756E-03	0.624E-05	0.488E-03
29.0	0.000E+00	0.000E+00	0.592E-06	0.145E-02	0.901E-03	0.239E-04	0.899E-03
30.0	0.000E+00	0.000E+00	0.357E-05	0.267E-02	0.961E-03	0.757E-04	0.151E-02
31.0	0.000E+00	0.000E+00	0.160E-04	0.445E-02	0.934E-03	0.203E-03	0.232E-02
32.0	0.000E+00	0.000E+00	0.575E-04	0.681E-02	0.838E-03	0.469E-03	0.328E-02
33.0	0.000E+00	0.000E+00	0.173E-03	0.956E-02	0.700E-03	0.953E-03	0.428E-02
34.0	0.000E+00	0.000E+00	0.444E-03	0.123E-01	0.549E-03	0.173E-02	0.516E-02
35.0	0.000E+00	0.000E+00	0.988E-03	0.145E-01	0.407E-03	0.283E-02	0.577E-02
36.0	0.000E+00	0.000E+00	0.193E-02	0.158E-01	0.288E-03	0.426E-02	0.603E-02
37.0	0.000E+00	0.000E+00	0.334E-02	0.159E-01	0.198E-03	0.596E-02	0.590E-02
38.0	0.000E+00	0.000E+00	0.523E-02	0.149E-01	0.143E-03	0.783E-02	0.545E-02
39.0	0.000E+00	0.105E-07	0.752E-02	0.130E-01	0.135E-03	0.975E-02	0.477E-02
40.0	0.000E+00	0.790E-07	0.100E-01	0.108E-01	0.198E-03	0.116E-01	0.399E-02
41.0	0.000E+00	0.403E-06	0.125E-01	0.850E-02	0.377E-03	0.132E-01	0.319E-02
42.0	0.000E+00	0.157E-05	0.146E-01	0.642E-02	0.729E-03	0.144E-01	0.246E-02
43.0	0.000E+00	0.509E-05	0.161E-01	0.467E-02	0.132E-02	0.152E-01	0.184E-02
44.0	0.000E+00	0.141E-04	0.168E-01	0.329E-02	0.218E-02	0.154E-01	0.134E-02
45.0	0.000E+00	0.344E-04	0.166E-01	0.226E-02	0.335E-02	0.151E-01	0.949E-03
46.0	0.000E+00	0.746E-04	0.156E-01	0.152E-02	0.479E-02	0.142E-01	0.659E-03
47.0	0.000E+00	0.145E-03	0.139E-01	0.999E-03	0.646E-02	0.130E-01	0.450E-03
48.0	0.000E+00	0.255E-03	0.119E-01	0.648E-03	0.827E-02	0.115E-01	0.302E-03
49.0	0.133E-08	0.411E-03	0.987E-02	0.415E-03	0.101E-01	0.987E-02	0.200E-03
50.0	0.818E-08	0.614E-03	0.790E-02	0.265E-03	0.120E-01	0.825E-02	0.131E-03
51.0	0.385E-07	0.860E-03	0.615E-02	0.175E-03	0.136E-01	0.673E-02	0.848E-04
52.0	0.148E-06	0.114E-02	0.466E-02	0.129E-03	0.151E-01	0.536E-02	0.545E-04
53.0	0.489E-06	0.143E-02	0.346E-02	0.122E-03	0.162E-01	0.418E-02	0.347E-04
54.0	0.141E-05	0.172E-02	0.252E-02	0.157E-03	0.168E-01	0.320E-02	0.220E-04
55.0	0.362E-05	0.197E-02	0.181E-02	0.240E-03	0.170E-01	0.241E-02	0.138E-04
56.0	0.834E-05	0.215E-02	0.127E-02	0.379E-03	0.167E-01	0.178E-02	0.861E-05
57.0	0.174E-04	0.226E-02	0.887E-03	0.581E-03	0.160E-01	0.130E-02	0.534E-05
58.0	0.331E-04	0.228E-02	0.610E-03	0.850E-03	0.149E-01	0.938E-03	0.329E-05
59.0	0.579E-04	0.221E-02	0.416E-03	0.118E-02	0.135E-01	0.668E-03	0.201E-05
60.0	0.939E-04	0.207E-02	0.281E-03	0.158E-02	0.120E-01	0.470E-03	0.122E-05
61.0	0.142E-03	0.188E-02	0.190E-03	0.201E-02	0.104E-01	0.328E-03	0.738E-06
62.0	0.202E-03	0.165E-02	0.130E-03	0.248E-02	0.880E-02	0.227E-03	0.441E-06
63.0	0.271E-03	0.141E-02	0.947E-04	0.294E-02	0.731E-02	0.155E-03	0.259E-06
64.0	0.344E-03	0.118E-02	0.798E-04	0.339E-02	0.597E-02	0.106E-03	0.150E-06
65.0	0.414E-03	0.968E-03	0.849E-04	0.378E-02	0.480E-02	0.713E-04	0.837E-07
66.0	0.476E-03	0.776E-03	0.112E-03	0.410E-02	0.379E-02	0.478E-04	0.442E-07
67.0	0.523E-03	0.612E-03	0.163E-03	0.433E-02	0.296E-02	0.319E-04	0.146E-07
68.0	0.551E-03	0.475E-03	0.243E-03	0.445E-02	0.228E-02	0.211E-04	0.000E+00
69.0	0.560E-03	0.364E-03	0.354E-03	0.446E-02	0.173E-02	0.139E-04	0.000E+00
70.0	0.549E-03	0.275E-03	0.497E-03	0.436E-02	0.122E-02	0.907E-05	0.000E+00
71.0	0.521E-03	0.205E-03	0.670E-03	0.416E-02	0.683E-03	0.590E-05	0.000E+00
72.0	0.482E-03	0.152E-03	0.104E-02	0.338E-02	0.258E-03	0.381E-05	0.000E+00
73.0	0.433E-03	0.111E-03	0.125E-02	0.303E-02	0.160E-03	0.245E-05	0.000E+00
74.0	0.381E-03	0.812E-04	0.146E-02	0.266E-02	0.103E-03	0.156E-05	0.000E+00
75.0	0.328E-03	0.593E-04	0.165E-02	0.230E-02	0.672E-04	0.991E-06	0.000E+00
76.0	0.277E-03	0.440E-04	0.181E-02	0.195E-02	0.445E-04	0.623E-06	0.000E+00
77.0	0.230E-03	0.341E-04	0.194E-02	0.163E-02	0.305E-04	0.389E-06	0.000E+00
78.0	0.188E-03	0.287E-04	0.201E-02	0.133E-02	0.226E-04	0.240E-06	0.000E+00
79.0	0.152E-03	0.276E-04	0.204E-02	0.107E-02	0.174E-04	0.146E-06	0.000E+00
80.0	0.121E-03	0.305E-04	0.202E-02	0.844E-03	0.661E-05	0.863E-07	0.000E+00
