E*/MeV	174Hg	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.574E-06	0.916E-06
17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.375E-05	0.305E-05
18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.224E-04	0.948E-05
19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.125E-03	0.278E-04
20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.653E-03	0.774E-04
21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.371E-06	0.310E-02	0.201E-03
22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.188E-04	0.125E-01	0.472E-03
23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.281E-03	0.391E-01	0.939E-03
24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.191E-02	0.936E-01	0.152E-02
25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.785E-02	0.178E+00	0.198E-02
26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.238E-01	0.280E+00	0.213E-02
27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.581E-01	0.379E+00	0.197E-02
28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E+00	0.456E+00	0.161E-02
29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.224E+00	0.494E+00	0.120E-02
30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.375E+00	0.491E+00	0.832E-03
31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.574E+00	0.453E+00	0.540E-03
32.0	0.000E+00	0.000E+00	0.000E+00	0.127E-06	0.810E+00	0.390E+00	0.330E-03
33.0	0.000E+00	0.000E+00	0.000E+00	0.162E-04	0.106E+01	0.316E+00	0.190E-03
34.0	0.000E+00	0.000E+00	0.000E+00	0.311E-03	0.129E+01	0.242E+00	0.103E-03
35.0	0.000E+00	0.000E+00	0.000E+00	0.239E-02	0.146E+01	0.176E+00	0.504E-04
36.0	0.000E+00	0.000E+00	0.000E+00	0.980E-02	0.154E+01	0.123E+00	0.191E-04
37.0	0.000E+00	0.000E+00	0.000E+00	0.262E-01	0.153E+01	0.821E-01	0.000E+00
38.0	0.000E+00	0.000E+00	0.000E+00	0.540E-01	0.142E+01	0.529E-01	0.000E+00
39.0	0.000E+00	0.000E+00	0.000E+00	0.935E-01	0.125E+01	0.330E-01	0.000E+00
40.0	0.000E+00	0.000E+00	0.000E+00	0.143E+00	0.104E+01	0.200E-01	0.000E+00
41.0	0.000E+00	0.000E+00	0.000E+00	0.200E+00	0.832E+00	0.118E-01	0.000E+00
42.0	0.000E+00	0.000E+00	0.723E-07	0.261E+00	0.637E+00	0.686E-02	0.000E+00
43.0	0.000E+00	0.000E+00	0.170E-05	0.322E+00	0.472E+00	0.390E-02	0.000E+00
44.0	0.000E+00	0.000E+00	0.173E-04	0.378E+00	0.338E+00	0.219E-02	0.000E+00
45.0	0.000E+00	0.000E+00	0.102E-03	0.423E+00	0.236E+00	0.121E-02	0.000E+00
46.0	0.000E+00	0.000E+00	0.402E-03	0.453E+00	0.161E+00	0.668E-03	0.000E+00
47.0	0.000E+00	0.000E+00	0.116E-02	0.464E+00	0.108E+00	0.365E-03	0.000E+00
48.0	0.000E+00	0.000E+00	0.264E-02	0.455E+00	0.711E-01	0.198E-03	0.000E+00
